poste,ville,type_contrat,experience_requise,salaire_annuel,date_publication,annee,trimestre,teletravail_possible,niveau_urgence,future_interest,interest_score
consultant cybersécurité,bordeaux,cdi,intermédiaire (2-5 ans),0.4515677287938309,2021-05-13,0.25,q2,False,moyen,1,0.63575613
développeur full stack,paris,cdd,confirmé (5-8 ans),0.5820147679324894,2021-05-14,0.25,q2,True,faible,1,0.44612128
responsable marketing digital,bordeaux,cdd,confirmé (5-8 ans),0.6157336679761385,2021-05-14,0.25,q2,True,moyen,1,0.44674724
data scientist,lille,cdi,intermédiaire (2-5 ans),0.3954877782627674,2021-05-15,0.25,q2,False,élevé,0,0.5588574
data scientist,paris,cdi,débutant (0-2 ans),0.3487105339735196,2021-05-16,0.25,q2,False,faible,0,0.5588574
commercial b2b,paris,cdi,débutant (0-2 ans),0.2351956932925942,2021-05-17,0.25,q2,False,moyen,1,0.58137727
ingénieur ia,lille,freelance,intermédiaire (2-5 ans),0.7320311363305689,2021-05-18,0.25,q2,True,moyen,1,0.4776264
data scientist,bordeaux,cdi,intermédiaire (2-5 ans),0.4102102429797759,2021-05-19,0.25,q2,True,moyen,0,0.5588574
data scientist,lyon,cdi,confirmé (5-8 ans),0.5949094281972938,2021-05-24,0.25,q2,False,faible,0,0.5588574
développeur full stack,bordeaux,stage,débutant (0-2 ans),0.0149679906882002,2021-05-24,0.25,q2,True,faible,0,0.44612128
responsable rh,paris,alternance,débutant (0-2 ans),0.0439946166157427,2021-05-25,0.25,q2,False,élevé,0,0.4071675
développeur full stack,paris,cdi,intermédiaire (2-5 ans),0.4314982540375382,2021-05-27,0.25,q2,False,faible,0,0.44612128
développeur full stack,paris,alternance,débutant (0-2 ans),0.0624818128910228,2021-05-29,0.25,q2,True,moyen,1,0.44612128
ux/ui designer,nantes,cdi,débutant (0-2 ans),0.223765095300451,2021-05-30,0.25,q2,False,faible,0,0.5471124
développeur full stack,paris,cdd,intermédiaire (2-5 ans),0.4299978175469227,2021-05-31,0.25,q2,False,moyen,0,0.44612128
responsable marketing digital,paris,cdd,intermédiaire (2-5 ans),0.4407009311799796,2021-05-31,0.25,q2,False,faible,1,0.44674724
architecte cloud,nantes,cdi,débutant (0-2 ans),0.3492925214607886,2021-05-31,0.25,q2,False,moyen,1,0.35840565
commercial b2b,paris,cdi,senior (8+ ans),0.645796959115379,2021-06-03,0.25,q2,True,moyen,1,0.58136237
business analyst,paris,cdi,confirmé (5-8 ans),0.5237250836607013,2021-06-04,0.25,q2,False,élevé,0,0.42929092
responsable marketing digital,paris,cdd,débutant (0-2 ans),0.3617597846646297,2021-06-04,0.25,q2,False,moyen,0,0.44674724
product owner,paris,stage,intermédiaire (2-5 ans),0.0596991852175178,2021-06-13,0.25,q2,False,moyen,0,0.5584586
product owner,lille,cdd,débutant (0-2 ans),0.2975138222028226,2021-06-16,0.25,q2,True,moyen,1,0.5584586
architecte cloud,bordeaux,cdd,confirmé (5-8 ans),0.6816619380183326,2021-06-20,0.25,q2,True,moyen,1,0.35840565
business analyst,bordeaux,freelance,intermédiaire (2-5 ans),0.541939473301324,2021-06-27,0.25,q2,True,moyen,1,0.42929092
business analyst,bordeaux,freelance,confirmé (5-8 ans),0.7975138222028226,2021-06-28,0.25,q2,False,moyen,1,0.42929092
développeur full stack,paris,cdi,débutant (0-2 ans),0.307107522188273,2021-06-29,0.25,q2,True,moyen,0,0.44612128
chef de projet digital,paris,cdi,intermédiaire (2-5 ans),0.4607976865997381,2021-06-29,0.25,q2,True,moyen,1,0.59111476
commercial b2b,bordeaux,cdi,débutant (0-2 ans),0.2576476793248945,2021-06-30,0.25,q2,True,élevé,0,0.58136237
développeur full stack,montpellier,cdd,confirmé (5-8 ans),0.588625782045686,2021-07-01,0.25,q3,True,moyen,0,0.44612128
développeur full stack,paris,alternance,débutant (0-2 ans),0.0661828895678742,2021-07-02,0.25,q3,True,faible,1,0.44612128
chef de projet digital,bordeaux,cdi,débutant (0-2 ans),0.3325967554197584,2021-07-04,0.25,q3,False,moyen,1,0.59111476
ingénieur ia,lille,stage,confirmé (5-8 ans),0.1206078131820165,2021-07-06,0.25,q3,True,faible,0,0.47765684
commercial b2b,paris,cdd,intermédiaire (2-5 ans),0.3862941946748145,2021-07-06,0.25,q3,True,élevé,0,0.58136237
développeur full stack,toulouse,alternance,débutant (0-2 ans),0.0594081914738833,2021-07-09,0.25,q3,False,moyen,0,0.44612128
commercial b2b,lille,cdi,intermédiaire (2-5 ans),0.3829204859595518,2021-07-10,0.25,q3,False,moyen,0,0.58136237
architecte cloud,toulouse,cdi,confirmé (5-8 ans),0.6100592899752655,2021-07-11,0.25,q3,False,moyen,0,0.35840565
chef de projet digital,nantes,alternance,confirmé (5-8 ans),0.1725138222028226,2021-07-12,0.25,q3,True,élevé,1,0.59111476
data scientist,marseille,stage,intermédiaire (2-5 ans),0.0548159464571511,2021-07-12,0.25,q3,True,moyen,1,0.5588574
architecte cloud,rennes,cdi,intermédiaire (2-5 ans),0.5815328095445947,2021-07-12,0.25,q3,False,moyen,0,0.35841972
consultant cybersécurité,paris,cdi,débutant (0-2 ans),0.3132456714680634,2021-07-13,0.25,q3,False,moyen,1,0.63575613
chef de projet digital,marseille,alternance,débutant (0-2 ans),0.075831150880256,2021-07-13,0.25,q3,True,faible,0,0.59111476
développeur full stack,lyon,freelance,confirmé (5-8 ans),0.8289320529608614,2021-07-14,0.25,q3,False,élevé,0,0.44612128
product owner,nantes,freelance,senior (8+ ans),0.4248008511567001,2021-07-19,0.25,q3,True,faible,1,0.5584586
chef de projet digital,paris,stage,intermédiaire (2-5 ans),0.0667103157282118,2021-07-23,0.25,q3,False,élevé,1,0.59111476
responsable rh,paris,cdi,confirmé (5-8 ans),0.4673450458315146,2021-07-23,0.25,q3,True,moyen,1,0.4071675
data scientist,bordeaux,alternance,senior (8+ ans),0.2556470973374072,2021-07-25,0.25,q3,True,élevé,0,0.5588574
consultant cybersécurité,paris,cdi,confirmé (5-8 ans),0.6050851156700131,2021-08-01,0.25,q3,False,élevé,1,0.63575613
product owner,toulouse,alternance,confirmé (5-8 ans),0.1589189582423978,2021-08-01,0.25,q3,True,faible,0,0.5584586
consultant cybersécurité,strasbourg,cdi,débutant (0-2 ans),0.3727447984868325,2021-08-02,0.25,q3,True,élevé,1,0.63575613
développeur full stack,paris,cdi,débutant (0-2 ans),0.264367816091954,2021-08-04,0.25,q3,False,moyen,0,0.44612128
architecte cloud,paris,freelance,intermédiaire (2-5 ans),0.7009038993161647,2021-08-04,0.25,q3,True,moyen,0,0.35840565
ux/ui designer,lyon,cdi,confirmé (5-8 ans),0.5000090935544885,2021-08-10,0.25,q3,True,élevé,1,0.5471124
chef de projet digital,lille,stage,débutant (0-2 ans),0.0304088462098064,2021-08-10,0.25,q3,False,élevé,0,0.59111476
business analyst,paris,cdi,intermédiaire (2-5 ans),0.4092463262039866,2021-08-11,0.25,q3,False,moyen,0,0.42929092
développeur full stack,paris,cdi,intermédiaire (2-5 ans),0.4397915757311217,2021-08-11,0.25,q3,False,moyen,1,0.44612128
business analyst,paris,cdi,intermédiaire (2-5 ans),0.3464098646879092,2021-08-17,0.25,q3,True,faible,0,0.42929092
développeur full stack,strasbourg,cdd,intermédiaire (2-5 ans),0.4327076967845191,2021-08-25,0.25,q3,True,élevé,1,0.44612128
développeur full stack,toulouse,cdi,intermédiaire (2-5 ans),0.4343081623745089,2021-08-28,0.25,q3,True,élevé,1,0.44612128
business analyst,paris,cdi,intermédiaire (2-5 ans),0.4015622726611378,2021-08-29,0.25,q3,True,élevé,0,0.42929092
product owner,toulouse,cdd,confirmé (5-8 ans),0.6194893059799215,2021-08-30,0.25,q3,True,moyen,1,0.5584586
consultant cybersécurité,paris,cdi,confirmé (5-8 ans),0.6688036519714826,2021-09-01,0.25,q3,True,moyen,1,0.63575613
chef de projet digital,lyon,cdi,confirmé (5-8 ans),0.4795395024006983,2021-09-03,0.25,q3,True,moyen,0,0.59111476
développeur full stack,toulouse,cdi,intermédiaire (2-5 ans),0.450185508511567,2021-09-08,0.25,q3,False,élevé,0,0.44612128
commercial b2b,lyon,stage,débutant (0-2 ans),0.0004819583878946,2021-09-09,0.25,q3,False,moyen,0,0.58136237
responsable rh,nantes,cdi,confirmé (5-8 ans),0.5122035501236724,2021-09-10,0.25,q3,True,faible,1,0.4071675
chef de projet digital,paris,stage,confirmé (5-8 ans),0.0948912410883166,2021-09-11,0.25,q3,True,moyen,1,0.59111476
responsable marketing digital,rennes,cdi,débutant (0-2 ans),0.2490997381056307,2021-09-11,0.25,q3,True,moyen,0,0.44674724
développeur full stack,paris,cdd,senior (8+ ans),0.6988123817837917,2021-09-13,0.25,q3,True,élevé,0,0.44612128
ingénieur ia,lyon,cdi,intermédiaire (2-5 ans),0.4891968572675687,2021-09-15,0.25,q3,True,élevé,0,0.47765684
développeur full stack,paris,cdd,intermédiaire (2-5 ans),0.5054470391386585,2021-09-20,0.25,q3,True,moyen,0,0.44615144
chargé de communication,marseille,stage,confirmé (5-8 ans),0.0671468063436636,2021-09-21,0.25,q3,True,faible,1,0.694785
data scientist,marseille,cdi,confirmé (5-8 ans),0.5413483922595664,2021-09-25,0.25,q3,False,élevé,0,0.5588574
responsable rh,lille,cdi,intermédiaire (2-5 ans),0.3430088753091808,2021-09-30,0.25,q3,False,faible,0,0.4071675
responsable marketing digital,toulouse,alternance,senior (8+ ans),0.1789065910082933,2021-09-30,0.25,q3,False,moyen,1,0.44674724
chargé de communication,paris,cdi,senior (8+ ans),0.6054124836316019,2021-10-06,0.25,q4,True,élevé,0,0.6947753
data scientist,montpellier,cdi,senior (8+ ans),0.7050778408264222,2021-10-08,0.25,q4,False,faible,1,0.5588574
développeur full stack,paris,cdi,débutant (0-2 ans),0.2605212425432853,2021-10-08,0.25,q4,True,moyen,1,0.44612128
business analyst,lille,cdd,confirmé (5-8 ans),0.5021733595227703,2021-10-09,0.25,q4,True,moyen,0,0.42929092
responsable marketing digital,paris,cdi,confirmé (5-8 ans),0.5028735632183908,2021-10-12,0.25,q4,True,élevé,1,0.44674724
chef de projet digital,lille,cdd,confirmé (5-8 ans),0.6391586643387167,2021-10-14,0.25,q4,False,moyen,0,0.59111476
ux/ui designer,montpellier,cdi,intermédiaire (2-5 ans),0.3280863523934235,2021-10-18,0.25,q4,True,moyen,1,0.5471124
ingénieur ia,bordeaux,cdi,débutant (0-2 ans),0.3286592463262039,2021-10-19,0.25,q4,True,faible,0,0.47765684
responsable marketing digital,lyon,cdi,confirmé (5-8 ans),0.4653171831805616,2021-10-23,0.25,q4,False,moyen,1,0.44674724
chef de projet digital,marseille,cdi,débutant (0-2 ans),0.3051705950822057,2021-10-26,0.25,q4,True,moyen,0,0.59111476
responsable marketing digital,bordeaux,stage,débutant (0-2 ans),0.0250072748435908,2021-10-29,0.25,q4,True,moyen,0,0.44674724
ingénieur ia,paris,cdd,confirmé (5-8 ans),0.5868070711479704,2021-10-30,0.25,q4,True,élevé,1,0.47765684
développeur full stack,lyon,cdi,confirmé (5-8 ans),0.474692637858286,2021-11-01,0.25,q4,False,moyen,1,0.44612128
responsable marketing digital,paris,cdi,senior (8+ ans),0.6259184490033465,2021-11-02,0.25,q4,False,moyen,1,0.44674724
business analyst,lyon,cdi,intermédiaire (2-5 ans),0.3877309762840099,2021-11-05,0.25,q4,True,élevé,0,0.42929092
ingénieur devops,montpellier,cdd,débutant (0-2 ans),0.3331969300160046,2021-11-10,0.25,q4,False,moyen,1,0.6240608
ingénieur devops,paris,cdi,confirmé (5-8 ans),0.5282445802415248,2021-11-11,0.25,q4,True,moyen,0,0.6240608
ingénieur devops,rennes,cdi,débutant (0-2 ans),0.2737159901062127,2021-11-15,0.25,q4,False,moyen,1,0.6240608
développeur full stack,paris,cdi,intermédiaire (2-5 ans),0.3722992143168921,2021-11-16,0.25,q4,True,élevé,1,0.44612128
data scientist,toulouse,cdi,débutant (0-2 ans),0.3456460061108686,2021-11-18,0.25,q4,False,moyen,1,0.5588574
chef de projet digital,lille,stage,intermédiaire (2-5 ans),0.0573803288229303,2021-11-18,0.25,q4,False,faible,1,0.59111476
ingénieur devops,strasbourg,alternance,intermédiaire (2-5 ans),0.1256547359231776,2021-11-20,0.25,q4,True,faible,0,0.6240608
responsable marketing digital,lyon,cdi,intermédiaire (2-5 ans),0.4041357485814055,2021-11-23,0.25,q4,True,faible,1,0.44674724
chef de projet digital,bordeaux,cdi,intermédiaire (2-5 ans),0.4593609049905427,2021-11-24,0.25,q4,False,faible,0,0.59111476
consultant cybersécurité,lyon,cdd,intermédiaire (2-5 ans),0.5713207478539212,2021-11-25,0.25,q4,True,moyen,1,0.63575613
architecte cloud,lille,freelance,débutant (0-2 ans),0.5314909791939473,2021-11-28,0.25,q4,False,moyen,0,0.35840565
ux/ui designer,paris,cdd,senior (8+ ans),0.6418685435763131,2021-11-30,0.25,q4,False,moyen,1,0.5471124
chef de projet digital,nantes,cdi,débutant (0-2 ans),0.3091262912847374,2021-11-30,0.25,q4,True,faible,1,0.5911443
ingénieur ia,toulouse,stage,intermédiaire (2-5 ans),0.0647552015131674,2021-11-30,0.25,q4,False,faible,0,0.4776264
chef de projet digital,paris,cdi,intermédiaire (2-5 ans),0.4530954459479121,2021-12-03,0.25,q4,False,moyen,1,0.59111476
responsable marketing digital,lyon,cdd,débutant (0-2 ans),0.3427997235559435,2021-12-04,0.25,q4,True,faible,0,0.44674724
développeur full stack,paris,freelance,confirmé (5-8 ans),0.7498181289102285,2021-12-07,0.25,q4,False,élevé,0,0.44612128
responsable marketing digital,marseille,cdi,intermédiaire (2-5 ans),0.3917957951404044,2021-12-11,0.25,q4,True,faible,1,0.44674724
commercial b2b,paris,cdi,intermédiaire (2-5 ans),0.3429543139822494,2021-12-11,0.25,q4,True,élevé,0,0.58136237
commercial b2b,paris,cdi,intermédiaire (2-5 ans),0.3870489596973665,2021-12-12,0.25,q4,True,élevé,1,0.58136237
data scientist,toulouse,cdi,confirmé (5-8 ans),0.6238542121344391,2021-12-14,0.25,q4,True,moyen,1,0.5588574
ingénieur ia,lille,cdi,débutant (0-2 ans),0.314527862650953,2021-12-16,0.25,q4,True,moyen,0,0.47765684
product owner,marseille,cdi,débutant (0-2 ans),0.300460133857122,2021-12-18,0.25,q4,True,moyen,1,0.5584586
commercial b2b,rennes,stage,intermédiaire (2-5 ans),0.0369198312236286,2021-12-20,0.25,q4,True,élevé,1,0.58136237
business analyst,paris,stage,confirmé (5-8 ans),0.0857158446093409,2021-12-20,0.25,q4,True,moyen,0,0.42929092
ingénieur ia,paris,cdi,débutant (0-2 ans),0.3011694311072312,2021-12-24,0.25,q4,False,moyen,0,0.47765684
business analyst,paris,cdd,intermédiaire (2-5 ans),0.448803288229303,2021-12-27,0.25,q4,True,moyen,1,0.42929092
contrôleur de gestion,lyon,cdi,senior (8+ ans),0.6267732431252728,2021-12-28,0.25,q4,True,moyen,0,0.35000122
commercial b2b,lyon,stage,débutant (0-2 ans),0.0,2021-12-29,0.25,q4,False,moyen,0,0.58136237
business analyst,marseille,cdi,confirmé (5-8 ans),0.4376636839807944,2021-12-30,0.25,q4,True,faible,0,0.42929092
data scientist,paris,cdi,débutant (0-2 ans),0.3609868325331005,2021-12-31,0.25,q4,True,moyen,1,0.5588574
chargé de communication,rennes,cdi,intermédiaire (2-5 ans),0.3058617052233377,2022-01-01,0.5,q1,True,faible,1,0.6947753
chef de projet digital,strasbourg,cdi,confirmé (5-8 ans),0.6115142586934381,2022-01-02,0.5,q1,True,moyen,0,0.59111476
développeur full stack,paris,cdd,intermédiaire (2-5 ans),0.5053833842572385,2022-01-09,0.5,q1,True,élevé,1,0.44612128
chef de projet digital,montpellier,cdi,intermédiaire (2-5 ans),0.4208769823948785,2022-01-18,0.5,q1,True,moyen,0,0.59111476
ux/ui designer,paris,cdi,intermédiaire (2-5 ans),0.3293321693583588,2022-01-25,0.5,q1,False,moyen,0,0.5471124
développeur full stack,paris,cdi,senior (8+ ans),0.6733504292157718,2022-01-31,0.5,q1,True,moyen,0,0.44612128
responsable marketing digital,nantes,cdi,intermédiaire (2-5 ans),0.3849301615015277,2022-01-31,0.5,q1,True,élevé,0,0.44674724
responsable rh,marseille,cdi,confirmé (5-8 ans),0.5621635384839226,2022-01-31,0.5,q1,True,élevé,1,0.4071675
chef de projet digital,paris,cdi,confirmé (5-8 ans),0.5803870216790339,2022-02-01,0.5,q1,True,moyen,1,0.59111476
chef de projet digital,lyon,cdi,intermédiaire (2-5 ans),0.4708187836461516,2022-02-03,0.5,q1,True,moyen,0,0.59111476
contrôleur de gestion,paris,freelance,senior (8+ ans),0.953077258838935,2022-02-05,0.5,q1,True,élevé,0,0.35000122
développeur full stack,toulouse,cdi,confirmé (5-8 ans),0.4795122217372326,2022-02-06,0.5,q1,True,faible,1,0.44612128
développeur full stack,paris,stage,confirmé (5-8 ans),0.1001564091372035,2022-02-08,0.5,q1,False,moyen,1,0.44612128
product owner,paris,cdd,intermédiaire (2-5 ans),0.495362287210825,2022-02-14,0.5,q1,True,faible,0,0.5584624
business analyst,lyon,freelance,intermédiaire (2-5 ans),0.5318365342645133,2022-02-14,0.5,q1,True,moyen,0,0.429261
contrôleur de gestion,paris,cdi,intermédiaire (2-5 ans),0.3652789902517095,2022-02-14,0.5,q1,False,élevé,0,0.35000122
data scientist,lille,cdi,intermédiaire (2-5 ans),0.4486577913574858,2022-02-16,0.5,q1,True,faible,0,0.5588574
data scientist,paris,cdi,intermédiaire (2-5 ans),0.4545231340026189,2022-02-16,0.5,q1,True,moyen,1,0.5588574
commercial b2b,lyon,freelance,confirmé (5-8 ans),0.7774443474465299,2022-02-17,0.5,q1,True,élevé,1,0.58136237
data scientist,paris,cdi,confirmé (5-8 ans),0.6024297977593481,2022-02-17,0.5,q1,True,élevé,1,0.5588574
ingénieur devops,rennes,freelance,débutant (0-2 ans),0.4776571366215626,2022-02-17,0.5,q1,True,moyen,0,0.6240608
consultant cybersécurité,bordeaux,cdi,débutant (0-2 ans),0.3478466462971046,2022-02-19,0.5,q1,False,moyen,1,0.63575613
commercial b2b,marseille,stage,intermédiaire (2-5 ans),0.0321275280081478,2022-02-22,0.5,q1,True,élevé,0,0.58136237
consultant cybersécurité,lille,cdi,confirmé (5-8 ans),0.6163429361268733,2022-02-23,0.5,q1,True,moyen,1,0.63575613
ux/ui designer,lille,cdi,intermédiaire (2-5 ans),0.3627782627673505,2022-02-23,0.5,q1,True,moyen,1,0.5471124
data scientist,paris,cdi,confirmé (5-8 ans),0.6146515349919977,2022-02-23,0.5,q1,False,élevé,1,0.5588574
consultant cybersécurité,lyon,cdi,débutant (0-2 ans),0.3149734468208933,2022-02-24,0.5,q1,True,moyen,1,0.63575613
responsable marketing digital,bordeaux,cdd,intermédiaire (2-5 ans),0.47799359813764,2022-02-26,0.5,q1,True,élevé,0,0.44674724
data scientist,paris,cdi,senior (8+ ans),0.7375054561326931,2022-03-04,0.5,q1,True,moyen,1,0.5588574
commercial b2b,lyon,alternance,intermédiaire (2-5 ans),0.091408409719191,2022-03-07,0.5,q1,True,faible,1,0.58136237
ux/ui designer,paris,cdi,intermédiaire (2-5 ans),0.3530936272370144,2022-03-08,0.5,q1,False,moyen,0,0.5471124
ingénieur devops,toulouse,cdi,intermédiaire (2-5 ans),0.4378000872981231,2022-03-08,0.5,q1,True,moyen,1,0.6240608
ingénieur devops,paris,alternance,débutant (0-2 ans),0.053870216790339,2022-03-15,0.5,q1,True,élevé,0,0.6240608
développeur full stack,lyon,cdi,confirmé (5-8 ans),0.4892150443765459,2022-03-20,0.5,q1,True,moyen,0,0.44612128
ingénieur devops,paris,stage,débutant (0-2 ans),0.0348465008002327,2022-03-23,0.5,q1,True,élevé,1,0.6240608
chef de projet digital,paris,cdd,confirmé (5-8 ans),0.6603011785246617,2022-03-26,0.5,q1,False,faible,0,0.59111476
ingénieur ia,paris,cdi,intermédiaire (2-5 ans),0.447812090790048,2022-03-26,0.5,q1,True,moyen,1,0.47765684
développeur full stack,marseille,stage,intermédiaire (2-5 ans),0.0653280954459479,2022-03-28,0.5,q1,False,faible,0,0.44612128
ingénieur devops,lyon,stage,senior (8+ ans),0.162019860323003,2022-03-29,0.5,q1,True,moyen,1,0.6240608
ux/ui designer,toulouse,cdi,débutant (0-2 ans),0.2813000145496871,2022-03-29,0.5,q1,True,moyen,0,0.5471124
architecte cloud,paris,cdi,débutant (0-2 ans),0.3635330277899025,2022-04-02,0.5,q2,True,moyen,0,0.35840565
ingénieur ia,lyon,cdi,débutant (0-2 ans),0.3422268296231631,2022-04-04,0.5,q2,True,élevé,0,0.47765684
consultant cybersécurité,lyon,cdi,confirmé (5-8 ans),0.5721937290848247,2022-04-04,0.5,q2,True,faible,1,0.63575613
contrôleur de gestion,lille,cdi,confirmé (5-8 ans),0.4364906154517677,2022-04-04,0.5,q2,True,moyen,1,0.35000122
développeur full stack,paris,cdd,confirmé (5-8 ans),0.5778226393132547,2022-04-07,0.5,q2,False,élevé,1,0.44612128
chef de projet digital,marseille,cdi,débutant (0-2 ans),0.3241215626364033,2022-04-08,0.5,q2,False,élevé,1,0.5911443
commercial b2b,lille,freelance,confirmé (5-8 ans),0.7441073766914011,2022-04-11,0.5,q2,False,moyen,1,0.58137727
développeur full stack,paris,cdi,intermédiaire (2-5 ans),0.4276789611523352,2022-04-16,0.5,q2,True,moyen,0,0.44612128
consultant cybersécurité,lille,cdi,intermédiaire (2-5 ans),0.5199785392114069,2022-04-18,0.5,q2,True,faible,0,0.63575613
data scientist,toulouse,cdd,confirmé (5-8 ans),0.5791048304961444,2022-04-19,0.5,q2,False,moyen,1,0.5588574
data scientist,paris,cdd,intermédiaire (2-5 ans),0.5016368398079442,2022-04-20,0.5,q2,True,faible,0,0.5588574
business analyst,lyon,cdi,intermédiaire (2-5 ans),0.3995525971191619,2022-04-22,0.5,q2,False,élevé,0,0.42929092
ingénieur devops,montpellier,cdd,débutant (0-2 ans),0.3331150880256074,2022-04-25,0.5,q2,True,élevé,1,0.6240608
consultant cybersécurité,lyon,cdi,débutant (0-2 ans),0.3633602502546195,2022-04-25,0.5,q2,True,faible,1,0.63575613
responsable marketing digital,paris,cdi,confirmé (5-8 ans),0.5231340026189437,2022-04-26,0.5,q2,True,moyen,0,0.44674724
contrôleur de gestion,lille,cdi,senior (8+ ans),0.7094154663174742,2022-04-28,0.5,q2,False,élevé,0,0.35000122
développeur full stack,montpellier,cdd,débutant (0-2 ans),0.3460279353993889,2022-04-28,0.5,q2,True,élevé,0,0.44612128
ingénieur ia,bordeaux,cdi,confirmé (5-8 ans),0.5853339153208206,2022-04-28,0.5,q2,False,élevé,0,0.47765684
data scientist,nantes,cdd,confirmé (5-8 ans),0.6666484795576895,2022-04-29,0.5,q2,True,moyen,1,0.5588574
ux/ui designer,paris,cdd,intermédiaire (2-5 ans),0.3850392841553907,2022-04-29,0.5,q2,True,élevé,1,0.5471124
consultant cybersécurité,lyon,cdi,intermédiaire (2-5 ans),0.454886876182162,2022-04-29,0.5,q2,True,moyen,0,0.63575613
product owner,paris,cdi,intermédiaire (2-5 ans),0.4275880256074494,2022-05-01,0.5,q2,True,moyen,0,0.5584586
ingénieur ia,paris,cdi,débutant (0-2 ans),0.3581041757602211,2022-05-01,0.5,q2,True,élevé,1,0.47765684
architecte cloud,rennes,cdi,intermédiaire (2-5 ans),0.4833769823948785,2022-05-05,0.5,q2,True,élevé,0,0.35840565
product owner,nantes,cdd,senior (8+ ans),0.7169267423250401,2022-05-05,0.5,q2,False,moyen,1,0.5584586
business analyst,paris,cdi,débutant (0-2 ans),0.3070893350792958,2022-05-05,0.5,q2,True,moyen,1,0.42929092
consultant cybersécurité,paris,cdd,confirmé (5-8 ans),0.6384493670886076,2022-05-09,0.5,q2,True,élevé,1,0.63575613
développeur full stack,toulouse,cdi,senior (8+ ans),0.6752509821038848,2022-05-11,0.5,q2,True,moyen,0,0.44612128
contrôleur de gestion,strasbourg,cdi,intermédiaire (2-5 ans),0.4082642223192201,2022-05-11,0.5,q2,False,moyen,0,0.35000122
consultant cybersécurité,rennes,cdd,intermédiaire (2-5 ans),0.5304543139822494,2022-05-12,0.5,q2,False,élevé,1,0.63575613
business analyst,bordeaux,cdi,intermédiaire (2-5 ans),0.3837934671904554,2022-05-12,0.5,q2,False,faible,0,0.42929092
chef de projet digital,strasbourg,freelance,intermédiaire (2-5 ans),0.5863342063145642,2022-05-16,0.5,q2,False,moyen,1,0.59111476
consultant cybersécurité,rennes,cdd,intermédiaire (2-5 ans),0.5763131092681507,2022-05-16,0.5,q2,True,moyen,1,0.63575613
consultant cybersécurité,paris,alternance,confirmé (5-8 ans),0.2127437072602939,2022-05-19,0.5,q2,False,élevé,0,0.63575613
ingénieur devops,lyon,cdi,débutant (0-2 ans),0.2945129492215917,2022-05-22,0.5,q2,True,élevé,1,0.6240608
développeur full stack,paris,cdi,intermédiaire (2-5 ans),0.3970882438527571,2022-05-22,0.5,q2,True,moyen,1,0.44612128
chef de projet digital,paris,cdi,intermédiaire (2-5 ans),0.4430743489014986,2022-05-25,0.5,q2,True,élevé,0,0.59111476
architecte cloud,rennes,cdi,débutant (0-2 ans),0.3638058344245599,2022-05-26,0.5,q2,True,élevé,1,0.35841972
responsable marketing digital,toulouse,freelance,senior (8+ ans),0.9939527862650952,2022-05-30,0.5,q2,True,faible,1,0.44683775
commercial b2b,paris,cdi,débutant (0-2 ans),0.2963316601193074,2022-05-30,0.5,q2,True,moyen,1,0.58136237
ingénieur ia,marseille,stage,intermédiaire (2-5 ans),0.070847883020515,2022-06-01,0.5,q2,True,moyen,1,0.47765684
ux/ui designer,paris,cdi,intermédiaire (2-5 ans),0.4130201513167467,2022-06-03,0.5,q2,True,élevé,0,0.5471124
product owner,paris,alternance,confirmé (5-8 ans),0.1631474610795867,2022-06-05,0.5,q2,True,moyen,1,0.5584586
chargé de communication,paris,cdd,confirmé (5-8 ans),0.5076294922159174,2022-06-06,0.5,q2,True,moyen,1,0.6947753
data scientist,toulouse,stage,intermédiaire (2-5 ans),0.0809053542848828,2022-06-13,0.5,q2,True,élevé,0,0.5588574
consultant cybersécurité,bordeaux,freelance,intermédiaire (2-5 ans),0.7625672923032155,2022-06-14,0.5,q2,True,élevé,0,0.63575613
développeur full stack,montpellier,stage,intermédiaire (2-5 ans),0.0532063873126727,2022-06-15,0.5,q2,True,élevé,1,0.44612128
commercial b2b,paris,freelance,confirmé (5-8 ans),0.7236286919831224,2022-06-16,0.5,q2,False,moyen,1,0.58136237
data scientist,paris,cdi,senior (8+ ans),0.8326604103011785,2022-06-19,0.5,q2,False,moyen,1,0.5588574
développeur full stack,montpellier,cdd,débutant (0-2 ans),0.3042885202968136,2022-06-20,0.5,q2,True,moyen,1,0.44612128
développeur full stack,marseille,cdi,senior (8+ ans),0.6363396624472574,2022-06-24,0.5,q2,True,faible,0,0.44612128
développeur full stack,rennes,cdi,intermédiaire (2-5 ans),0.3802015131674669,2022-06-30,0.5,q2,True,élevé,1,0.44612128
product owner,paris,cdi,débutant (0-2 ans),0.3392168630874436,2022-07-06,0.5,q3,False,moyen,1,0.5584586
product owner,paris,cdi,intermédiaire (2-5 ans),0.388676705950822,2022-07-07,0.5,q3,False,moyen,1,0.5584586
commercial b2b,nantes,cdi,intermédiaire (2-5 ans),0.3410719482031136,2022-07-08,0.5,q3,False,élevé,0,0.58136237
responsable rh,lyon,cdd,intermédiaire (2-5 ans),0.4965171686308744,2022-07-09,0.5,q3,True,moyen,0,0.4071675
architecte cloud,paris,stage,confirmé (5-8 ans),0.1382493088898588,2022-07-10,0.5,q3,True,faible,0,0.35840565
développeur full stack,lyon,cdd,intermédiaire (2-5 ans),0.4623435908627964,2022-07-11,0.5,q3,True,élevé,0,0.44612128
